brand,engine_type,gearbox,mileage,model,price,url,year
Citroën,Essence,Automatique,783,C4,29019,https://www.spoticar.fr/voitures-occasion/citroen-c4-puretech-130-eat8-max-yvelines-france-1202956869,2023
Peugeot,Essence,Manuelle,3682,208,22150,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-100-ss-bvm6-allure-pack-yvelines-france-1202956866,2023
Peugeot,Essence,Automatique,5054,208,23150,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-100-ss-eat8-allure-pack-yvelines-france-1202956865,2023
Peugeot,Diesel,Automatique,3091,3008,34890,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-allure-pack-yvelines-france-1202956861,2023
Peugeot,Diesel,Automatique,1896,3008,41400,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-gt-yvelines-france-1202956863,2023
Peugeot,Essence,Manuelle,18219,208,22752,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-100-ss-bvm6-gt-yvelines-france-1202956864,2023
Citroën,Hybride rechargeable,Automatique,5594,C5,44001,https://www.spoticar.fr/voitures-occasion/citroen-c5-aircross-hybride-rechargeable-225-e-eat8-shine-yvelines-france-1202956857,2023
Peugeot,Hybride rechargeable,Automatique,3782,508,44000,https://www.spoticar.fr/voitures-occasion/peugeot-508-hybrid-225-e-eat8-allure-yvelines-france-1202956859,2023
Peugeot,Essence,Manuelle,5,2008,23250,https://www.spoticar.fr/voitures-occasion/peugeot-2008-puretech-100-ss-bvm6-active-yvelines-france-1202956853,2023
DS,Hybride rechargeable,Automatique,1078,7,64839,https://www.spoticar.fr/voitures-occasion/ds-ds-7-crossback-hybride-rechargeable-e-tense-300-eat8-4x4-opera-yvelines-france-1202956858,2023
Citroën,Hybride rechargeable,Automatique,3866,C5,49316,https://www.spoticar.fr/voitures-occasion/citroen-c5-x-hybride-rechargeable-225-ss-e-eat8-shine-pack-yvelines-france-1202956854,2023
Peugeot,Essence,Automatique,17079,2008,26750,https://www.spoticar.fr/voitures-occasion/peugeot-2008-puretech-130-ss-eat8-allure-yvelines-france-1202956847,2023
Citroën,Diesel,Manuelle,3011,C3,23213,https://www.spoticar.fr/voitures-occasion/citroen-yvelines-france-1202956855,2023
Peugeot,Essence,Automatique,2256,308,33850,https://www.spoticar.fr/voitures-occasion/peugeot-308-sw-puretech-130ch-ss-eat8-gt-yvelines-france-1202956851,2023
Peugeot,Essence,Automatique,1176,408,36250,https://www.spoticar.fr/voitures-occasion/peugeot-408-puretech-130-ch-ss-eat8-gt-yvelines-france-1202956852,2023
Peugeot,Essence,Manuelle,15151,208,17993,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-75-ss-bvm5-active-pack-yvelines-france-1202956838,2023
Citroën,Essence,Automatique,21115,C3,22750,https://www.spoticar.fr/voitures-occasion/citroen-c3-aircross-puretech-130-ss-eat6-shine-yvelines-france-1202956836,2022
Peugeot,Diesel,Automatique,25228,3008,32390,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-allure-pack-yvelines-france-1202956848,2023
Citroën,Essence,Manuelle,10796,C3,16716,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-83-ss-bvm5-c-series-yvelines-france-1202956850,2023
Citroën,Essence,Manuelle,15660,C4,24418,https://www.spoticar.fr/voitures-occasion/citroen-c4-puretech-130-ss-bvm6-feel-pack-yvelines-france-1202956849,2023
Peugeot,Essence,Automatique,13889,208,23850,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-100-ss-eat8-gt-yvelines-france-1202956841,2023
Peugeot,Essence,Automatique,16994,2008,26500,https://www.spoticar.fr/voitures-occasion/peugeot-2008-puretech-130-ss-eat8-allure-yvelines-france-1202956842,2023
Peugeot,Essence,Automatique,15567,2008,26590,https://www.spoticar.fr/voitures-occasion/peugeot-2008-puretech-130-ss-eat8-allure-yvelines-france-1202956837,2023
Citroën,Diesel,Manuelle,25375,C3,17800,https://www.spoticar.fr/voitures-occasion/citroen-c3-bluehdi-100-ss-bvm6-c-series-yvelines-france-1202956822,2023
Peugeot,Diesel,Automatique,11853,2008,26350,https://www.spoticar.fr/voitures-occasion/peugeot-2008-bluehdi-130-ss-eat8-roadtrip-yvelines-france-1202956817,2021
Peugeot,Hybride rechargeable,Automatique,16462,3008,44981,https://www.spoticar.fr/voitures-occasion/peugeot-3008-hybrid4-300-e-eat8-gt-yvelines-france-1202956828,2022
Citroën,Essence,Manuelle,21622,C3,19751,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-110-ss-bvm6-shine-yvelines-france-1202956830,2023
Peugeot,Essence,Manuelle,24888,3008,30109,https://www.spoticar.fr/voitures-occasion/peugeot-3008-puretech-130ch-ss-bvm6-allure-pack-yvelines-france-1202956825,2023
Citroën,Diesel,Manuelle,14,Berlingo,22550,https://www.spoticar.fr/voitures-occasion/citroen-berlingo-van-m-650-bluehdi-100-ss-bvm6-club-yvelines-france-1202956812,2023
Citroën,Diesel,Manuelle,21770,C3,18954,https://www.spoticar.fr/voitures-occasion/citroen-c3-bluehdi-100-ss-bvm6-c-series-yvelines-france-1202956824,2023
Peugeot,Essence,Automatique,15654,208,23900,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-100-ss-eat8-gt-yvelines-france-1202956827,2023
Fiat,Electrique,Automatique,7991,500,24130,https://www.spoticar.fr/voitures-occasion/fiat-500-e-118-ch-icone-2021-yvelines-france-1202956804,2022
Peugeot,Essence,Automatique,15395,208,22200,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-130-ss-eat8-allure-pack-yvelines-france-1202956819,2021
Peugeot,Diesel,Automatique,1725,5008,42000,https://www.spoticar.fr/voitures-occasion/peugeot-5008-bluehdi-130ch-ss-eat8-gt-yvelines-france-1202956818,2023
Peugeot,Essence,Manuelle,13994,2008,23300,https://www.spoticar.fr/voitures-occasion/peugeot-2008-puretech-130-ss-bvm6-roadtrip-yvelines-france-1202956815,2021
Citroën,Essence,Manuelle,14108,C3,18257,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-83-ss-bvm5-shine-yvelines-france-1202956816,2023
Fiat,Essence,Manuelle,10995,500,15864,https://www.spoticar.fr/voitures-occasion/fiat-500-10-70-ch-hybride-bsg-ss-dolcevita-yvelines-france-1202956799,2022
Fiat,Essence,Manuelle,10287,500,15915,https://www.spoticar.fr/voitures-occasion/fiat-500-10-70-ch-hybride-bsg-ss-dolcevita-yvelines-france-1202956808,2022
Peugeot,Essence,Automatique,14753,208,22529,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-100-ss-eat8-allure-pack-yvelines-france-1202956820,2023
Fiat,Diesel,Manuelle,21127,500X,24280,https://www.spoticar.fr/voitures-occasion/fiat-yvelines-france-1202956807,2022
Peugeot,Hybride rechargeable,Automatique,2940,508,51500,https://www.spoticar.fr/voitures-occasion/peugeot-508-sw-hybrid-225-e-eat8-allure-yvelines-france-1202956795,2023
Citroën,Diesel,Automatique,14801,C5,31700,https://www.spoticar.fr/voitures-occasion/citroen-c5-aircross-bluehdi-130-ss-eat8-shine-yvelines-france-1202956789,2023
Fiat,Diesel,Manuelle,16616,500X,24715,https://www.spoticar.fr/voitures-occasion/fiat-yvelines-france-1202956803,2022
Fiat,Essence,Manuelle,21807,500,16717,https://www.spoticar.fr/voitures-occasion/fiat-500-c-10-70-ch-hybride-bsg-ss-dolcevita-yvelines-france-1202956802,2022
Citroën,Diesel,Manuelle,18301,C5,28650,https://www.spoticar.fr/voitures-occasion/citroen-c5-aircross-bluehdi-130-ss-bvm6-shine-yvelines-france-1202956801,2022
Fiat,Essence,Manuelle,11657,500,15513,https://www.spoticar.fr/voitures-occasion/fiat-500-10-70-ch-hybride-bsg-ss-dolcevita-yvelines-france-1202956800,2022
Peugeot,Essence,Automatique,6916,5008,36300,https://www.spoticar.fr/voitures-occasion/peugeot-5008-puretech-130ch-ss-eat8-allure-pack-yvelines-france-1202956797,2023
Peugeot,Essence,Manuelle,992,208,22550,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-100-ss-bvm6-allure-pack-yvelines-france-1202956793,2023
Peugeot,Diesel,Automatique,4156,3008,40100,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-gt-yvelines-france-1202956787,2023
Peugeot,Essence,Manuelle,836,208,22500,https://www.spoticar.fr/voitures-occasion/peugeot-208-puretech-100-ss-bvm6-allure-pack-yvelines-france-1202956783,2023
