brand,engine_type,gearbox,mileage,model,price,url,year
bmw,essence,automatique,175000,golf,7500,"/Voiture/BMW-BMW-5er-530i/vhc:car,pgn:16,pgs:10,dmg:false/pg:vipcar/384529142.html",2004
fiat,,manuelle,145000,punto,6490,"/Voiture/Fiat-PUNTO-RESTAILING-1.2-GPL-PER-NEO-PATENT./vhc:car,pgn:17,pgs:10,dmg:false/pg:vipcar/384529131.html",2018
bmw,diesel,automatique,191000,fiesta,19299,"/Voiture/BMW-BMW-520d-X-Drive-M-Paket/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384529196.html",2016
mercedes,diesel,automatique,308000,fiesta,11000,"/Voiture/Mercedes-Benz-Mercedes-Benz/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384529195.html",2013
opel,essence,manuelle,61701,corsa,6500,"/Voiture/Opel-Opel-corsa-d-1.0L-Baujahr-2014-t%C3%BCv-bis/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384529230.html",2014
volkswagen,essence,manuelle,32348,t-cross,21500,"/Voiture/Volkswagen-VOLKSWAGEN-T-Cross-2019-T-Cross/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384529227.html",2020
ford,diesel,automatique,649927,sprinter,13750,"/Voiture/Mercedes-Benz-Sprinter-316-CDI-Ambulance-11/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/383575312.html",2015
ford,diesel,manuelle,155743,sprinter,15999,"/Voiture/Mercedes-Benz-Coup%C3%A9-E-250-CDI-BlueEFFICIENCY/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384529252.html",2010
bmw,essence,manuelle,216000,polo,1650,"/Voiture/BMW-Bmw-e46-316i-facelift-Mit-T%C3%BCv/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/384529278.html",2003
bmw,diesel,automatique,76000,polo,53000,"/Voiture/BMW-BMW-M340d-xD-Touring-Laser-Standheizung/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/384529277.html",2021
mercedes,essence,manuelle,245100,corolla,3199,"/Voiture/Mercedes-Benz-Mercedes-C-180-Kompressor-Sport/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384529261.html",2004
opel,essence,manuelle,56206,crossland,16500,"/Voiture/Nissan-NISSAN-Qashqai-II-2017-qashqai-1.2-dig/vhc:car,pgn:13,pgs:10,dmg:false/pg:vipcar/384529168.html",2018
opel,essence,manuelle,27600,crossland,30900,"/Voiture/Mazda-MAZDA-MX-5-IV-2015-Soft-Top-MX-5-2.0/vhc:car,pgn:13,pgs:10,dmg:false/pg:vipcar/384529167.html",2022
ford,diesel,manuelle,200000,focus,4200,"/Voiture/Ford-Ford-Focus-1.6-TDCI-2-Hand-TOP-GEPFLEGT/vhc:car,pgn:16,pgs:10,dmg:false/pg:vipcar/384529141.html",2009
ford,diesel,automatique,130000,focus,5700,"/Voiture/Smart-Smart-Fortwo/vhc:car,pgn:16,pgs:10,dmg:false/pg:vipcar/384529140.html",2010
bmw,essence,automatique,205000,focus,1200,"/Voiture/BMW-BMW-E36-Compact-316/vhc:car,pgn:16,pgs:10,dmg:false/pg:vipcar/384529139.html",1996
,essence,manuelle,175000,,1250,"/Voiture/Seat-Seat-Ibiza-1.4-16v/vhc:car,pgn:12,pgs:10,dmg:false/pg:vipcar/384529182.html",2005
opel,diesel,manuelle,170000,insignia,4700,"/Voiture/Opel-Opel-Insignia-Sports-Tourer/vhc:car,pgn:18,pgs:10,dmg:false/pg:vipcar/384529121.html",2009
fiat,,manuelle,150000,doblo,11990,"/Voiture/Fiat-DOBLO-1.4-C.V-120-METANO-CON-7-POSTI/vhc:car,pgn:17,pgs:10,dmg:false/pg:vipcar/384529129.html",2017
renault,essence,manuelle,186000,doblo,2500,"/Voiture/Renault-Modus-Tech-Run-1.6-16V-ESP-Tech-Run/vhc:car,pgn:17,pgs:10,dmg:false/pg:vipcar/384529127.html",2005
volkswagen,essence,manuelle,26050,t-cross,8600,"/Voiture/Skoda-Skoda-Rapid-TSI-nur-26050km-gelaufen/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384529226.html",2013
citroen,essence,automatique,123364,c1,3800,"/Voiture/Citro%C3%ABn-Citroen-C1/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384529249.html",2008
ford,essence,manuelle,82258,fiesta,2690,"/Voiture/Ford-Ford-Fiesta-1.2-60-kw-Trend-Klima-t%C3%BCv/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384529248.html",2011
opel,hybride,automatique,12600,crossland,36500,"/Voiture/Nissan-NISSAN-Qashqai-III-2021-Qashqai-1.5-e/vhc:car,pgn:13,pgs:10,dmg:false/pg:vipcar/384529166.html",2023
opel,diesel,manuelle,82000,crossland,19900,"/Voiture/Nissan-NISSAN-X-Trail-III-2014-x-trail-1.6/vhc:car,pgn:13,pgs:10,dmg:false/pg:vipcar/384529165.html",2017
ford,essence,automatique,19400,focus,34500,"/Voiture/Ford-ford-focus-st-mk4/vhc:car,pgn:16,pgs:10,dmg:false/pg:vipcar/384529138.html",2022
opel,essence,manuelle,215000,focus,1850,"/Voiture/Opel-Opel-Tigra-1.8/vhc:car,pgn:16,pgs:10,dmg:false/pg:vipcar/384529137.html",2005
opel,essence,manuelle,34776,astra,20800,"/Voiture/Opel-Astra-ST-Elegance-LED-NAVI-LEDER-PDC/vhc:car,pgn:12,pgs:10,dmg:false/pg:vipcar/377862896.html",2020
volkswagen,diesel,automatique,458322,touran,5950,"/Voiture/Volkswagen-Touran-2.0-TDI-DSG-TAXI-T%C3%9CV-NEU-7/vhc:car,pgn:18,pgs:10,dmg:false/pg:vipcar/384529119.html",2017
opel,essence,manuelle,15650,corsa,16600,"/Voiture/Opel-Corsa-1.2-GS-Line-MATRIX-LED-LENKRAD-SHZ/vhc:car,pgn:17,pgs:10,dmg:false/pg:vipcar/377698367.html",2020
mercedes,diesel,automatique,308000,,11000,"/Voiture/Mercedes-Benz-Mercedes-Benz/vhc:car,pgn:11,pgs:10,dmg:false/pg:vipcar/384529195.html",2013
,essence,manuelle,42151,,19880,"/Voiture/Hyundai-KONA-1.0-T-GDI-48V-N-Line-Navi/vhc:car,pgn:19,pgs:10,dmg:false/pg:vipcar/384529113.html",2022
ford,diesel,manuelle,299000,galaxy,1550,"/Voiture/Ford-Ford-Galaxy-2.0-TDCI-wa6-7-sitze/vhc:car,pgn:13,pgs:10,dmg:false/pg:vipcar/384529164.html",2006
volkswagen,diesel,manuelle,199986,caddy,11950,"/Voiture/Volkswagen-VW-Caddy-Maxi-7-Sitze-AHZV/vhc:car,pgn:16,pgs:10,dmg:false/pg:vipcar/384529136.html",2010
bmw,electrique,automatique,12250,caddy,56990,"/Voiture/BMW-iX3-Impressive-M-Sport-PANO-HUD-AHK-ACC/vhc:car,pgn:16,pgs:10,dmg:false/pg:vipcar/384529134.html",2023
opel,essence,manuelle,34776,astra,20800,"/Voiture/Opel-Astra-ST-Elegance-LED-NAVI-LEDER-PDC/vhc:car,pgn:12,pgs:10,dmg:false/pg:vipcar/376252868.html",2020
volkswagen,essence,manuelle,288000,astra,600,"/Voiture/Volkswagen-VW-Bora-1.6.-Variant-16V-zu/vhc:car,pgn:12,pgs:10,dmg:false/pg:vipcar/384529181.html",2001
opel,essence,automatique,65009,combo,21800,"/Voiture/Opel-Combo-Life-1.2-AT-Edition-KAMERA-AHZV/vhc:car,pgn:18,pgs:10,dmg:false/pg:vipcar/377710842.html",2020
opel,essence,automatique,65009,combo,21800,"/Voiture/Opel-Combo-Life-1.2-AT-Edition-KAMERA-AHZV/vhc:car,pgn:18,pgs:10,dmg:false/pg:vipcar/373977181.html",2020
opel,essence,manuelle,15650,corsa,16600,"/Voiture/Opel-Corsa-1.2-GS-Line-MATRIX-LED-LENKRAD-SHZ/vhc:car,pgn:17,pgs:10,dmg:false/pg:vipcar/373938112.html",2020
bmw,essence,automatique,138891,corsa,22250,"/Voiture/BMW-BMW-135i-Coupe-N54-Automatik-E82/vhc:car,pgn:17,pgs:10,dmg:false/pg:vipcar/384529126.html",2009
